#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
44,Allen Robinson II,WR,PIT,9.8,4.8,23.3,19.6,14,7.8,9,17.7,11.6,7.3,-,23.4,10.5,22.8,10.3,15.3,4.7,13.2,211.9,45
45,Robert Woods,WR,HOU,14.9,10.3,18.9,6.8,15.1,12,4,24.9,-,6.1,24.6,12.3,13.5,5.6,18.6,6.9,5.6,12.5,200.1,46
46,Nick Chubb,RB,CLE,5.1,25.8,23.5,4.3,-,-,-,-,BYE,18.6,11.4,25.1,17.1,23.3,13.6,15.1,16.8,16.6,199.7,47
47,Kareem Hunt,RB,FA,10.1,23.1,13.4,19.1,16.8,6.7,17.7,8.3,-,14.7,8.6,6.2,7.2,26,4.3,12.7,4.6,12.5,199.5,48
48,Ezekiel Elliott,RB,FA,26.2,19.2,14.8,16.5,23,8,5.6,7.8,7.9,-,18.4,2.4,11.5,6.9,-,15.9,13.6,13.2,197.7,49
49,Drew Lock,QB,SEA,13.1,-1.2,-,-,-,5.5,15,20.8,30.2,11,12.1,-,12.9,25.6,11,16.1,24.3,15.1,196.3,50
50,Keenan Allen,WR,LAC,5.7,13.1,23.7,10.2,9.9,BYE,17.5,17.2,20.8,11.4,26.5,14,7.3,15.7,2.1,-,-,13.9,195.1,51
51,Brandin Cooks,WR,DAL,3,12,3.8,0,26.1,17.3,9.5,-,15.8,6.9,10.5,11,9,-,8.9,23.6,34.1,12.8,191.5,52
52,Amari Cooper,WR,CLE,13.1,13,13.1,27.4,3.1,17.4,12,1,10,-,11.1,20.2,13.8,13.1,1.3,14.1,7.1,11.9,190.8,53
53,Daniel Jones,QB,NYG,19.4,8.7,9.1,11.1,8.2,14.9,21.7,18.2,12.9,22.2,BYE,10.4,-,3.1,-,14.4,15.9,13.6,190,54
54,Marvin Jones Jr.,WR,DET,7.5,10.3,6.6,1.4,BYE,1.8,10.5,17.4,11.8,19.6,7.1,7.8,21.6,6.8,22.2,3.4,34,11.9,189.8,55
55,JuJu Smith-Schuster,WR,NE,21.9,8.3,14.3,-,4.8,1.6,13,10.2,18.3,18.2,3.9,13.7,6.3,14.5,1,20.1,15.5,11.6,185.6,56
56,Antonio Gibson,RB,WAS,5.4,11.7,11.5,20.8,7.6,7.5,18.8,BYE,11,20.5,16.9,34.1,1.4,-,-,8.4,8.6,13.2,184.2,57
57,Chase Claypool,WR,CHI,5.7,16.3,2.9,-,39.1,16.1,0.3,10.7,11.3,19.3,13.9,8.2,4.8,3,6.3,7.4,18.6,11.5,183.9,58
58,Melvin Gordon III,RB,FA,14.1,15.4,5.8,24.8,-,-,11,7.7,3.2,4.6,18.4,3.1,14.7,10.6,22.1,7.9,19,12.2,182.4,59
59,CeeDee Lamb,WR,DAL,8.4,14.5,9.1,22.7,16.4,9.9,0.1,6.6,13.1,BYE,14.6,4.6,7.6,7.1,17,21.9,7.1,11.3,180.7,60
60,Terry McLaurin,WR,WAS,8.6,22,10.6,16.8,4.1,10.9,18.5,BYE,21,13.7,10.9,12.7,2.4,3.4,11.2,-,13.5,12,180.3,61
61,Kenyan Drake,RB,FA,13.5,10.5,8.4,3.5,12.7,28.4,4.6,-,-,9.4,14,22.8,12.8,15.5,5,12,6.6,12,179.7,62
62,Joe Burrow,QB,CIN,17.3,24.5,20.4,16.1,5.3,17.7,34.6,18.9,BYE,12.5,11.3,-,-,-,-,-,-,17.9,178.7,63
63,DJ Moore,WR,CHI,7.4,16,7.5,6.9,17.3,11.8,23.3,6.5,2.8,17.6,18.3,8.1,-,-,16.2,6.2,12.6,11.9,178.5,64
64,Diontae Johnson,WR,PIT,6.7,19.2,0.9,BYE,0.3,-,24.5,1.1,11.1,20.6,17.1,8.6,17.1,6,15.9,17.6,11.1,11.9,177.8,65
65,Mike Davis,RB,FA,0,11.5,19.1,19.6,25.4,10.5,6.1,8.2,6.2,6.4,14.9,9.4,-,23.8,7.1,8.8,-,11.8,177,66
66,Chosen Anderson,WR,MIA,22.4,13.4,8,13.9,15.5,9.7,10.4,7.3,10.8,4.1,8.1,17.4,-,13.7,3,13.4,5.5,11,176.6,67
67,Curtis Samuel,WR,WAS,6.8,4.9,7.2,6.3,8.9,-,14.3,19.4,22.3,2.7,17.4,10.2,-,12.5,6.8,18.3,15.6,11.6,173.6,68
68,Ronald Jones II,RB,DAL,9.2,9.7,8.3,15.8,14,25.1,10.1,4.6,3.3,24.3,2.4,16.8,-,14.9,-,-,13.8,12.3,172.3,69
69,Jason Sanders,K,MIA,4,11,7,18,22,6,BYE,4,14,14,10,12,14,10,2,15,9,10.8,172,70
70,Chris Carson,RB,FA,21.6,18.3,9.1,23.5,16.9,-,4.6,-,-,-,-,12.9,18.5,17.3,7.9,9.4,9.3,14.1,169.3,71
71,Younghoe Koo,K,ATL,9,17,8,-,13,20,2,13,12,BYE,13,21,12,6,11,2,9,11.2,168,72
72,D'Andre Swift,RB,PHI,9.8,9.7,2.4,13.2,-,25.8,12.8,3.8,11.2,23.4,-,-,-,13,20.2,7,14.5,12.8,166.8,73
73,Cole Beasley,WR,FA,7.8,9.5,13,10.7,8.3,12.5,16.7,3.4,5.4,22.4,-,8.3,23.5,6.6,15.2,3.2,-,11.1,166.5,74
74,Gardner Minshew II,QB,IND,20.8,25.5,10.2,21.9,19.8,18.6,19,-,-,-,-,-,-,13.3,15.9,-,-,18.4,165.2,75
75,David Johnson,RB,FA,18.4,6,11.6,10.2,11.3,13.4,14.4,-,1.6,-,-,-,10.4,-,18.8,27.4,19.5,13.6,163,76
76,Cooper Kupp,WR,LAR,6,10.5,21.2,15.2,9.1,2.6,8.9,16.5,BYE,7.5,20,5.1,11.3,11.8,6.4,10.6,-,10.8,162.7,77
77,William Fuller V,WR,FA,15.2,0,13.4,19.8,13.8,21.3,11,-,18.5,6.3,11,32.1,-,-,-,-,-,14.8,162.4,78
78,Mitch Trubisky,QB,PIT,24.3,15.2,12.6,BYE,-,-,-,0.3,-,-,-,20.7,13.3,25,14.5,24.6,11.3,16.2,161.7,78
78,Nyheim Hines,RB,BUF,23.3,0.9,8.1,4.7,4,5.2,-,19.7,4.8,26,6.8,13.5,10.7,9.5,6.4,8.4,9.7,10.1,161.7,80
80,Nelson Agholor,WR,BAL,8.8,2.4,4.2,12.4,13.7,-,19.2,0,12.5,1.3,17.8,7.9,5.8,18.5,6.9,24,6.2,10.1,161.6,81
81,Ryan Fitzpatrick,QB,FA,8.4,24.3,24.7,23.3,27.6,18,-,-,-,-,4.3,19.3,-,0,-,11.3,-,16.1,161.2,82
82,Tee Higgins,WR,CIN,0,5,18.5,11,8.2,15.7,16.3,11.4,BYE,19,4.1,12.9,8.1,7.4,4.6,18.9,0,10.1,161.1,83
83,J.K. Dobbins,RB,BAL,14.2,6.6,6.4,2.2,7,3.9,BYE,12.6,4.5,1.9,17.5,-,13.1,13.3,14.6,13.7,28,10.6,159.5,84
84,Corey Davis,WR,NYJ,13.6,11.1,9.4,-,-,-,12.5,22.8,0,9.2,13.8,8.5,29.7,2.9,19,0,6.4,11.4,158.9,85
85,Chris Godwin,WR,TB,10.9,-,14.9,-,-,7.3,19.3,-,5.6,12.2,14.8,13.7,BYE,3.5,11.6,16.9,27.8,13.2,158.5,86
86,Clyde Edwards-Helaire,RB,KC,19.8,10,15.9,10.6,9.5,18.9,12.8,4.6,10.9,BYE,20.2,4.4,-,11.6,8.8,-,-,12.2,158,87
87,Tyler Bass,K,BUF,9,7,5,6,5,6,23,6,15,18,BYE,11,10,8,12,8,8,9.8,157,88
88,Miles Sanders,RB,CAR,-,18.6,12.7,8.6,22.9,11.7,-,-,-,12.5,7.6,5.2,3.1,27.6,9.5,16.4,-,13,156.4,89
89,Daniel Carlson,K,LV,12,12,8,13,11,BYE,9,10,7,15,7,6,8,9,9,13,6,9.7,155,90
90,Taysom Hill,TE,NO,4.7,0.8,-0.8,1.9,7.3,BYE,0.6,13.5,9.9,2.5,24.2,18.5,23.6,19.9,6.3,10.5,11.1,9.7,154.6,91
91,Brandon Aiyuk,WR,SF,-,3.1,18.6,12.6,5.9,8.2,14.5,19.1,-,16.2,BYE,-,18,16.9,17.8,3.6,-,12.9,154.5,92
92,Marquise Brown,WR,ARI,12.6,6.7,2.3,10.6,16.8,7.7,-,6.8,5.3,2.4,0,16.5,12.4,12,12.8,10.5,18.6,9.6,154,93
93,Tyler Boyd,WR,CIN,5.3,16.7,17.5,12.9,6.2,10.4,22.2,16.6,BYE,7.1,13,3,13.7,6.8,0,-,1.7,10.2,153.1,94
94,Greg Zuerlein,K,NYJ,5,11,9,2,14,4,4,13,15,BYE,5,10,5,14,13,13,16,9.6,153,95
95,Jarvis Landry,WR,FA,8.6,6.1,5.6,12.8,10.8,5.5,8.5,7.2,-,4.4,3.6,24.3,16.4,8.7,15.6,-,13.9,10.1,152,96
96,J.D. McKissic,RB,FA,0.4,5.3,6.7,6.1,7.9,11.4,6.1,-,12.7,14.4,8.4,3.7,12.8,9.6,21.2,19.2,5.5,9.5,151.4,97
97,Los Angeles Rams,DST,LAR,4,7,4,11,12,0,15,5,BYE,13,5,15,11,21,2,6,20,9.4,151,98
98,Todd Gurley II,RB,FA,12.7,6.1,14.7,18.8,23,8.2,21.2,10.6,12.5,-,3.4,-,2.5,4.1,2.4,6.5,4,10,150.7,99
99,Robert Tonyan,TE,CHI,0,9.5,13.5,30.8,-,4,4.2,10.4,1,4.8,12.9,15.2,11.9,12.1,9.3,2.2,8.8,9.4,150.6,100
